SurfacePositionX,SurfacePositionY,SurfacePositionZ,HitPositionX,HitPositionY,HitPositionZ,PointOfClosestApproachX,PointOfClosestApproachY,PointOfClosestApproachZ,HitDirectionX,HitDirectionY,HitDirectionZ,eventID,volumeID
-2.01948e-28,209.3,-407.582,-1079.88,201.609,-405.191,-1079.94,201.54,-405.443,0.20168,0.260284,0.944234,0,132
-4.03897e-28,194.35,-381.688,-1076.26,207.431,-386.92,-1076.25,207.453,-386.863,0.113699,0.364942,0.924062,0,132
-2.01948e-28,224.25,-381.688,-1074.38,212.575,-375.832,-1074.39,212.555,-375.871,0.213089,0.435167,0.87477,0,132
0,209.3,-355.794,-1071.31,215.809,-355.732,-1071.32,215.808,-355.843,0.0537404,0.00748808,0.998527,0,132
0,224.25,-329.9,-1068.29,214.327,-331.212,-1068.3,214.335,-331.268,0.140587,-0.135289,0.980781,0,132
-2.01948e-28,29.9,0,-1021.61,20.5636,-6.40294,-1021.62,20.5866,-6.43626,0.301821,-0.542012,0.784301,0,132
0,0,0,-1016.95,11.1537,7.26652,-1017,11.2935,7.04223,0.204848,-0.517902,0.830551,0,132
-2.01948e-28,14.95,25.8942,-1008.56,4.34141,22.1881,-1008.02,4.13784,22.9308,0.575003,-0.216257,0.789053,0,132
0,0,51.7883,-998.248,-6.86559,43.9543,-997.797,-8.46283,46.5202,0.147615,-0.522686,0.839648,0,132
0,-14.95,77.6825,-992.099,-14.3493,72.9152,-990.971,-13.4169,77.3609,0.240942,0.199234,0.94987,0,132
0,0,0,1256.77,7.74672,-2.06261,1257.01,5.72718,-4.58516,-0.0733296,0.623296,0.77854,1,181
-6.34224e-15,14.95,25.8942,1253.77,24.4691,18.3025,1253.88,23.9235,17.7047,-0.131879,0.668215,0.732186,1,181
-6.34224e-15,44.85,25.8942,1251.53,36.7446,31.4772,1251.33,37.8934,32.6586,-0.117677,0.692293,0.711957,1,181
-1.26845e-14,59.8,51.7883,1247.16,57.1195,54.054,1247.16,57.1183,54.0525,-0.150835,0.637746,0.755334,1,181
-1.90267e-14,74.75,77.6825,1242.67,77.071,77.8677,1242.88,76.0348,76.6175,-0.130927,0.632668,0.763275,1,181
-9.98289e-14,328.9,407.582,1177.52,336.66,401.75,1177.53,336.624,401.703,-0.155879,0.598303,0.785961,1,181
-9.98289e-14,358.8,407.582,1174.98,346.004,414.491,1174.98,346.018,414.517,-0.0343254,0.476612,0.878443,1,181
-1.06171e-13,343.85,433.477,1177.25,353.588,427.945,1177.27,353.638,428.035,0.205625,0.4755,0.855347,1,181
-1.12513e-13,358.8,459.371,1180.67,367.693,454.21,1180.67,367.681,454.189,-0.0074972,0.503895,0.863732,1,181
-1.18856e-13,373.75,485.265,1181.29,382.423,480.407,1181.29,382.424,480.41,0.0238987,0.488258,0.872372,1,181
0,0,0,337.618,-3.34945,3.47037,337.618,-3.34943,3.47039,0.0377811,0.719021,0.69396,2,167
4.54747e-13,14.95,25.8942,338.705,17.3296,23.4286,338.705,17.3296,23.4286,0.0377977,0.719028,0.693952,2,167
0,29.9,51.7883,339.792,38.0087,43.3862,339.792,38.0087,43.3862,0.0378008,0.719045,0.693935,2,167
0,59.8,51.7883,340.606,53.49,58.3267,340.606,53.4899,58.3267,0.0377941,0.719046,0.693934,2,167
4.54747e-13,74.75,77.6825,341.748,75.2265,79.3041,341.693,74.1695,78.284,0.0377925,0.719047,0.693933,2,167
4.54747e-13,418.6,407.582,359.872,420.181,412.212,359.707,417.049,409.189,0.037775,0.719045,0.693936,2,167
4.54747e-13,433.55,433.477,360.827,438.361,429.757,360.794,437.729,429.147,0.0377835,0.719037,0.693944,2,167
4.54747e-13,448.5,459.371,361.916,459.088,449.761,361.88,458.408,449.105,0.0377542,0.719042,0.69394,2,167
4.54747e-13,478.4,459.371,362.586,471.853,462.08,362.693,473.889,464.045,0.0377283,0.71904,0.693944,2,167
4.54747e-13,493.35,485.265,363.778,494.568,484.003,363.778,494.568,484.003,0.0377348,0.719048,0.693935,2,167
4.54747e-13,3095.15,3000,500.379,3097.48,2997.59,500.379,3097.48,2997.59,0.0379197,0.718684,0.694302,2,169
4.54747e-13,3110.1,3025.89,501.469,3118.15,3017.56,501.469,3118.15,3017.56,0.0379254,0.718707,0.694278,2,169
4.54747e-13,3140,3025.89,502.285,3133.62,3032.5,502.285,3133.62,3032.5,0.0379086,0.718716,0.69427,2,169
0,3154.95,3051.79,503.376,3154.29,3052.47,503.376,3154.29,3052.47,0.0379052,0.71871,0.694276,2,169
4.54747e-13,3169.9,3077.68,504.283,3171.5,3069.1,504.466,3174.96,3072.44,0.0379003,0.718711,0.694275,2,169
4.54747e-13,3199.8,3077.68,505.282,3190.43,3087.38,505.282,3190.43,3087.38,0.0378941,0.718721,0.694265,2,169
-4.54747e-13,3529.2,3407.58,522.953,3525.68,3411.22,522.953,3525.68,3411.22,0.0378842,0.718729,0.694257,2,171
4.54747e-13,3544.15,3433.48,524.043,3546.36,3431.19,524.043,3546.36,3431.19,0.0378613,0.718717,0.694271,2,171
-4.54747e-13,3559.1,3459.37,525.103,3566.48,3450.63,525.132,3567.03,3451.16,0.0378571,0.718711,0.694278,2,171
-4.54747e-13,3589,3459.37,525.946,3582.5,3466.1,525.946,3582.5,3466.1,0.0378542,0.718707,0.694281,2,171
4.54747e-13,3603.95,3485.26,526.824,3599.16,3482.2,527.035,3603.17,3486.07,0.0378505,0.718702,0.694287,2,171
4.54747e-13,6205.75,6000,663.891,6202.07,5997.02,664.069,6205.46,6000.3,0.0378242,0.718631,0.694362,2,172
1.36424e-12,6220.7,6025.89,665.157,6226.13,6020.27,665.157,6226.13,6020.27,0.0378387,0.718631,0.694361,2,172
1.36424e-12,6250.6,6025.89,665.971,6241.6,6035.21,665.971,6241.6,6035.21,0.0378368,0.718634,0.694359,2,172
4.54747e-13,6265.55,6051.79,666.927,6259.76,6052.76,667.06,6262.27,6055.19,0.0378318,0.718643,0.694349,2,172
1.36424e-12,6280.5,6077.68,668.19,6283.73,6075.92,668.148,6282.94,6075.16,0.0378399,0.718647,0.694345,2,172
4.54747e-13,6624.35,6407.58,686.061,6623.21,6403.93,686.188,6625.63,6406.26,0.0378367,0.718643,0.694349,2,172
1.36424e-12,6639.3,6433.48,687.276,6646.3,6426.23,687.276,6646.3,6426.23,0.0378319,0.718647,0.694345,2,172
1.36424e-12,6669.2,6433.48,688.09,6661.76,6441.18,688.09,6661.76,6441.18,0.0378406,0.718648,0.694343,2,172
4.54747e-13,6684.15,6459.37,689.178,6682.43,6461.15,689.178,6682.43,6461.15,0.0378425,0.71865,0.694341,2,172
1.36424e-12,6699.1,6485.26,690.115,6700.21,6478.33,690.267,6703.1,6481.12,0.0378494,0.718651,0.694341,2,172
0,0,0,-1067.16,-4.24219,2.49576,-1067.16,-4.2422,2.49575,-0.147226,0.501546,0.852512,3,148
4.54747e-13,14.95,25.8942,-1071.61,10.9187,28.2658,-1071.61,10.9187,28.2658,-0.147237,0.501542,0.852512,3,148
0,29.9,51.7883,-1076.61,27.9492,57.2141,-1076.06,26.0795,54.0359,-0.147226,0.501538,0.852516,3,148
0,44.85,77.6825,-1080.51,41.24,79.8062,-1080.51,41.24,79.8062,-0.147233,0.501525,0.852522,3,148
-4.54747e-13,239.2,407.582,-1137.51,235.389,409.825,-1137.51,235.389,409.825,-0.147256,0.501536,0.852512,3,148
0,254.15,433.477,-1142.21,251.384,437.013,-1141.97,250.549,435.595,-0.147253,0.501526,0.852519,3,148
-4.54747e-13,269.1,459.371,-1145.43,262.337,455.632,-1146.42,265.71,461.365,-0.147261,0.501536,0.852511,3,148
-4.54747e-13,284.05,485.265,-1150.87,280.871,487.135,-1150.87,280.871,487.135,-0.147286,0.501527,0.852512,3,148
4.54747e-13,1764.1,3000,-1585.27,1760.26,3001.54,-1585.36,1760.57,3002.08,-0.147125,0.501569,0.852516,3,148
9.09495e-13,1779.05,3025.89,-1589.78,1775.63,3027.67,-1589.81,1775.73,3027.85,-0.147141,0.501554,0.852521,3,148
0,1794,3051.79,-1593.34,1787.76,3048.29,-1594.26,1790.89,3053.62,-0.147116,0.501577,0.852512,3,148
4.54747e-13,1808.95,3077.68,-1598.7,1806.05,3079.39,-1598.7,1806.05,3079.39,-0.147113,0.501511,0.852552,3,148
0,2033.7,3485.26,-1667.9,2041.95,3480.41,-1667.9,2041.95,3480.41,-0.147093,0.501506,0.852558,3,150
-9.09495e-13,3513.75,6000,-2103.31,3520,5994.75,-2103.51,3520.69,5995.92,-0.147588,0.501264,0.852615,3,150
0,3528.7,6025.89,-2107.98,3535.84,6021.7,-2107.98,3535.84,6021.7,-0.147595,0.501251,0.852622,3,150
0,3543.65,6051.79,-2112.68,3551.81,6048.86,-2112.44,3550.99,6047.47,-0.147673,0.501227,0.852622,3,150
0,3558.6,6077.68,-2116.9,3566.14,6073.25,-2116.9,3566.14,6073.25,-0.147775,0.501194,0.852623,3,150
0,3752.95,6407.58,-2174.11,3760.18,6403.34,-2174.11,3760.18,6403.34,-0.14776,0.501179,0.852635,3,150
9.09495e-13,3767.9,6433.48,-2178.57,3775.33,6429.11,-2178.57,3775.33,6429.11,-0.14772,0.501189,0.852636,3,150
0,3782.85,6459.37,-2183.04,3790.48,6454.89,-2183.04,3790.48,6454.89,-0.14771,0.501197,0.852633,3,150
9.09495e-13,3797.8,6485.26,-2186.79,3803.2,6476.53,-2187.5,3805.63,6480.66,-0.147729,0.501174,0.852643,3,150
0,0,0,805.709,6.15342,-2.45588,805.709,6.15341,-2.4559,0.120151,0.367994,0.922033,4,18
0,14.95,25.8942,809.462,17.6478,26.3446,809.29,17.1221,25.0273,0.120171,0.367984,0.922034,4,18
0,29.9,51.7883,813.583,30.2695,57.9703,812.872,28.0905,52.5105,0.120152,0.367981,0.922038,4,18
0,44.85,77.6825,816.453,39.059,79.9937,816.453,39.059,79.9937,0.120132,0.367986,0.922038,4,18
0,179.4,407.582,859.568,171.118,410.888,859.568,171.118,410.888,0.120147,0.367995,0.922033,4,18
0,164.45,433.477,861.808,177.978,428.077,861.808,177.978,428.077,0.12014,0.367998,0.922032,4,18
0,194.35,433.477,863.149,182.087,438.371,863.149,182.087,438.371,0.120132,0.368031,0.92202,4,18
0,179.4,459.371,865.388,188.948,455.56,865.388,188.948,455.56,0.120098,0.368025,0.922027,4,18
0,194.35,485.265,868.968,199.918,483.042,868.968,199.918,483.042,0.120102,0.368053,0.922015,4,18
-4.54747e-13,1211.45,3000,1198.02,1207.49,3007.62,1197.34,1205.41,3002.41,0.120161,0.367956,0.922047,4,22
-9.09495e-13,1226.4,3025.89,1200.92,1216.38,3029.89,1200.92,1216.38,3029.89,0.120159,0.367968,0.922042,4,22
0,1211.45,3051.79,1203.18,1223.28,3047.2,1203.16,1223.24,3047.08,0.120157,0.367993,0.922032,4,22
-4.54747e-13,1226.4,3077.68,1206.7,1234.06,3074.21,1206.74,1234.21,3074.57,0.120183,0.368025,0.922016,4,22
1.36424e-12,1360.95,3407.58,1249.98,1366.61,3406.28,1249.87,1366.28,3405.46,0.120183,0.368028,0.922015,4,22
4.54747e-13,1375.9,3433.48,1253.49,1377.37,3433.25,1253.45,1377.25,3432.94,0.120166,0.368022,0.92202,4,22
1.36424e-12,1390.85,3459.37,1257.64,1390.07,3465.05,1257.03,1388.22,3460.42,0.120146,0.368022,0.922022,4,22
4.54747e-13,1405.8,3485.26,1260.62,1399.19,3487.9,1260.62,1399.19,3487.9,0.120132,0.368019,0.922025,4,22
4.54747e-13,2407.45,6000,1587.91,2399.74,5998.6,1588.41,2401.28,6002.46,0.120769,0.36749,0.922153,4,31
-4.54747e-13,2422.4,6025.89,1592.01,2412.23,6029.95,1592.01,2412.23,6029.95,0.120766,0.367503,0.922148,4,31
4.54747e-13,2407.45,6051.79,1594.29,2419.17,6047.36,1594.27,2419.09,6047.15,0.120738,0.367505,0.922151,4,31
