StripPositionX,StripPositionY,StripPositionZ,StripDirectionX,StripDirectionY,StripDirectionZ,StripNormalX,StripNormalY,StripNormalZ,HitPositionX,HitPositionY,HitPositionZ,PointOfClosestApproachX,PointOfClosestApproachY,PointOfClosestApproachZ,eventID,volumeID
-726.947,175.662,-572.532,0,0,1,6.12323e-17,1,0,-1076.89,61.1384,-571.826,-1076.71,60.2075,-572.532,0,132
-726.947,175.662,-547.532,0,0,1,6.12323e-17,1,0,-1082.73,92.6725,-548.172,-1082.92,93.4969,-547.532,0,132
-726.947,175.662,-522.532,0,0,1,6.12323e-17,1,0,-1091.92,126.307,-522.532,-1091.92,126.307,-522.532,0,132
726.947,-190.613,-164.95,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,328.475,-177.659,-164.747,328.464,-177.87,-164.95,2,167
726.947,-190.613,-139.95,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,329.82,-151.959,-139.95,329.82,-151.959,-139.95,2,167
726.947,-190.613,-114.95,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,331.175,-126.049,-114.95,331.175,-126.049,-114.95,2,167
726.947,773.662,600.215,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,370.099,614.977,600.215,370.099,614.977,600.215,2,167
726.947,773.662,625.215,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,371.455,640.879,625.215,371.455,640.879,625.215,2,167
726.947,773.662,650.215,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,372.81,666.781,650.215,372.81,666.781,650.215,2,167
1115.18,2852.21,2835.05,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,491.511,2929.21,2835.05,491.511,2929.21,2835.05,2,169
1115.18,2852.21,2860.05,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,492.869,2955.1,2860.05,492.869,2955.1,2860.05,2,169
1115.18,2852.21,2885.05,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,494.232,2980.99,2885.05,494.232,2980.99,2885.05,2,169
1115.18,3966.49,3600.21,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,533.256,3721.33,3600.21,533.256,3721.33,3600.21,2,171
1115.18,3966.49,3625.21,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,534.616,3747.2,3625.21,534.616,3747.2,3625.21,2,171
1115.18,3966.49,3650.21,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,535.977,3773.07,3650.21,535.977,3773.07,3650.21,2,171
1503.4,6045.04,5835.05,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,655.085,6034.44,5835.05,655.085,6034.44,5835.05,2,172
1503.4,6045.04,5860.05,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,656.429,6060.05,5859.8,656.443,6060.31,5860.05,2,172
1503.4,6045.04,5885.05,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,657.854,6087.23,5886.06,657.799,6086.19,5885.05,2,172
1503.4,7009.31,6600.21,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,696.752,6826.37,6600.21,696.752,6826.37,6600.21,2,172
1503.4,7009.31,6625.21,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,698.114,6852.24,6625.21,698.114,6852.24,6625.21,2,172
1503.4,7009.31,6650.21,-5.55112e-17,-5.55112e-17,1,1.51659e-16,1,4.0637e-17,699.475,6878.12,6650.21,699.475,6878.12,6650.21,2,172
-726.947,437.288,600.215,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1170.41,347.39,600.215,-1170.41,347.39,600.215,3,148
-726.947,437.288,625.215,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1174.74,362.102,625.215,-1174.74,362.102,625.215,3,148
-726.947,437.288,650.215,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1179.07,376.814,650.215,-1179.07,376.814,650.215,3,148
-1115.18,1401.56,2835.05,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1556.54,1662.29,2835.05,-1556.54,1662.29,2835.05,3,148
-1115.18,1401.56,2860.05,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1560.85,1677,2860.05,-1560.85,1677,2860.05,3,148
-1115.18,1401.56,2885.05,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1565.16,1691.72,2885.05,-1565.16,1691.72,2885.05,3,148
-1115.18,2515.84,3600.21,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1688.58,2112.42,3600.21,-1688.58,2112.42,3600.21,3,150
-1115.18,2515.84,3625.21,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1692.91,2127.12,3625.21,-1692.91,2127.12,3625.21,3,150
-1115.18,2515.84,3650.21,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-1697.23,2141.82,3650.21,-1697.23,2141.82,3650.21,3,150
-1503.4,3480.11,5835.05,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-2075.64,3426.11,5835.05,-2075.64,3426.11,5835.05,3,150
-1503.4,3480.11,5860.05,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-2079.98,3440.81,5860.05,-2079.98,3440.81,5860.05,3,150
-1503.4,3480.11,5885.05,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-2084.32,3455.51,5885.05,-2084.32,3455.51,5885.05,3,150
-1503.4,3480.11,6600.21,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-2208.22,3875.9,6600.21,-2208.22,3875.9,6600.21,3,150
-1503.4,3480.11,6625.21,0,-5.55112e-17,1,6.12323e-17,1,5.55112e-17,-2212.55,3890.61,6625.21,-2212.55,3890.61,6625.21,3,150
